,haro,sto. domingo,durana,vitoria,urdiain,logroño,san vicente,alsasua,nanclares,salinas,miranda,sotes,nalda,pradejón,el rasillo,nieva,cenicero,laguardia,agoncillo,briones,najera,sesma,lerín,los arcos,araia,fuenmayor
haro,,23.31,39.47,39.45,61.24,36.67,15.8,60.98,31.54,40.49,31.79,35.53,46.09,55.91,67.38,63.27,22.97,35.51,44.86,10.13,30.56,65.06,80.91,56.22,57.11,27.58
sto. domingo,22.93,,55.97,55.95,77.74,32.93,30.95,77.48,48.03,55.97,44.1,24.95,40.54,56.39,62.21,58.1,29.49,42.42,45.34,25.28,19.05,61.24,77.09,52.41,73.6,29.54
durana,41.19,59.52,,15.29,32.26,65.03,46.9,32.0,18.21,37.71,36.69,63.9,74.45,84.27,95.74,91.63,54.05,60.41,73.21,42.22,62.71,83.56,96.69,68.9,28.12,58.66
vitoria,39.24,57.58,14.47,,39.34,63.09,44.96,39.08,16.27,35.77,34.75,61.95,72.51,82.33,93.8,89.69,52.1,48.21,71.27,40.27,60.76,80.91,95.77,66.26,35.2,56.72
urdiain,61.4,79.74,31.47,38.91,,77.11,67.11,3.35,38.42,57.92,56.91,84.11,90.4,92.47,111.69,107.58,74.26,82.33,79.62,62.43,82.92,70.54,70.72,61.36,14.79,78.87
logroño,34.36,34.78,62.32,62.29,76.53,,34.06,76.8,54.38,62.32,53.62,18.54,17.16,29.45,38.45,34.33,20.32,23.62,16.6,28.39,26.34,31.02,46.86,22.18,79.95,15.41
san vicente,15.29,30.84,44.62,44.6,66.39,34.39,,66.13,36.68,49.37,38.93,33.26,43.82,53.63,65.1,60.99,20.12,21.9,42.58,5.93,27.77,62.78,78.63,53.95,62.25,24.73
alsasua,60.09,78.42,30.16,37.6,3.35,77.74,65.8,,37.11,56.61,55.59,82.8,91.03,93.1,112.32,108.21,72.95,81.02,80.25,61.12,81.61,71.98,72.78,61.99,13.48,77.56
nanclares,30.87,49.21,17.42,17.4,39.19,54.72,36.59,38.93,,22.61,26.38,53.58,64.14,73.95,85.43,81.32,43.73,51.81,62.9,31.9,52.39,83.11,98.95,74.27,35.05,48.35
salinas,41.55,58.0,36.7,36.67,58.47,63.5,49.76,58.21,22.98,,31.44,62.37,72.93,82.74,94.21,90.11,52.52,64.98,71.69,45.07,65.56,91.89,107.74,83.06,54.33,57.13
miranda,30.37,43.61,32.68,32.66,54.45,52.33,36.22,54.19,24.74,30.15,,51.19,61.75,71.56,83.04,78.92,41.34,51.43,60.51,31.53,52.02,80.71,96.56,71.88,50.31,45.96
sotes,33.99,26.71,61.95,61.93,83.72,17.19,33.69,83.46,54.02,61.96,53.25,,23.99,40.65,45.66,41.55,18.77,26.67,29.6,28.02,17.59,45.5,61.35,36.66,79.58,13.8
nalda,41.84,42.94,69.8,69.78,90.73,16.83,41.54,91.01,61.87,69.81,61.11,24.14,,41.08,30.09,25.98,27.8,35.87,30.02,35.87,34.5,45.23,61.07,36.39,87.44,24.98
pradejón,54.38,58.4,82.34,82.32,93.76,31.7,54.09,94.03,74.41,82.35,73.65,42.16,41.92,,63.2,59.09,40.35,50.4,24.04,48.41,49.96,26.27,33.99,39.41,97.73,37.52
el rasillo,63.23,64.75,91.19,91.17,112.12,38.22,62.93,112.39,83.26,91.19,82.49,45.95,29.99,62.47,,8.09,49.19,57.26,51.41,57.26,56.32,66.61,82.46,57.77,108.83,46.37
nieva,59.12,60.64,87.08,87.06,108.01,34.11,58.82,108.28,79.14,87.09,78.38,41.84,25.88,58.35,8.09,,45.08,53.15,47.3,53.15,52.2,62.5,78.35,53.66,104.71,42.26
cenicero,22.45,30.24,50.84,50.82,72.62,19.87,20.06,72.36,42.91,50.85,42.15,18.8,29.75,39.84,51.31,47.2,,13.16,28.79,14.39,21.17,48.18,64.03,39.34,68.48,9.74
laguardia,35.2,43.32,59.41,48.63,81.41,23.9,21.9,81.15,51.71,64.17,53.95,27.08,34.27,49.29,55.55,51.44,13.32,,37.88,25.85,34.49,51.85,67.69,43.01,77.28,16.08
agoncillo,42.17,46.19,70.13,70.11,79.93,17.88,41.87,80.2,62.2,70.14,61.43,29.95,29.7,23.51,50.99,46.88,28.13,37.02,,36.2,37.75,34.42,48.96,25.58,83.91,25.31
briones,9.57,25.12,39.93,39.91,61.71,28.67,5.88,61.45,32.0,44.69,33.69,27.54,38.09,47.91,59.38,55.27,14.4,25.59,36.86,,22.05,57.06,72.91,48.23,57.57,19.01
najera,30.12,20.5,60.62,60.6,82.39,25.76,27.87,82.13,52.68,65.37,54.24,17.73,33.37,49.22,55.04,50.92,21.67,34.83,38.16,22.2,,54.07,69.91,45.23,78.25,22.36
sesma,61.11,63.54,81.82,80.94,71.09,32.68,60.81,71.75,81.14,89.08,80.38,47.3,45.98,26.1,67.27,63.16,47.07,50.85,35.2,55.14,55.1,,18.11,16.39,74.72,44.17
lerín,77.13,79.56,95.28,96.15,71.19,48.71,76.83,71.94,97.16,105.1,96.4,63.32,62.0,34.05,83.29,79.18,63.09,66.87,47.28,71.16,71.12,18.23,,32.41,80.3,60.19
los arcos,51.26,53.68,67.31,66.42,62.84,22.83,50.96,63.11,71.29,79.22,70.52,37.44,36.13,38.2,57.41,53.3,37.22,40.99,25.35,45.29,45.24,16.54,32.68,,60.21,34.32
araia,56.24,74.58,26.32,33.76,15.65,80.09,61.96,15.38,33.27,52.77,51.75,78.95,89.51,96.65,110.8,106.69,69.11,77.18,83.79,57.27,77.76,74.98,81.69,60.33,,73.72
fuenmayor,27.14,30.24,55.53,55.51,77.31,14.15,24.75,77.05,47.6,55.54,46.84,14.0,24.62,36.21,45.91,41.8,9.82,15.88,25.16,19.08,21.8,42.46,58.31,33.63,73.17,
